,name,price,kms_driven,fuel_type,city,year
74,Maruti Suzuki Baleno,6.29,26603,Petrol,Delhi,2019
75,Volkswagen Vento Comfortline,6.51,53094,Petrol,Mumbai,2016
76,Hyundai Grand i10,4.75,4098,Petrol,Mumbai,2017
77,Maruti Suzuki Wagon,2.89,75379,Petrol,Pune,2011
78,Hyundai Venue S,8.97,15763,Petrol,Kolkata,2019
79,Mercedes-Benz C-Class 200,8.5,119500,Petrol,Ahmedabad,2010
80,Maruti Suzuki Wagon,2.76,42697,Petrol,Kolkata,2013
81,Hyundai Elite i20,6.9,45000,Petrol,Ahmedabad,2018
82,Maruti Suzuki Vitara,10.44,55174,Diesel,Pune,2019
83,Honda City VX,7.35,82953,Petrol,Chennai,2016
84,Maruti Suzuki Wagon,3.9,85138,Petrol,Pune,2016
85,Audi Q5 3.0,25.0,57000,Diesel,Hyderabad,2015
86,Audi A6 2.0,11.25,52000,Diesel,Kolkata,2013
87,Hyundai Creta SX,9.79,27623,Petrol,Bangalore,2016
88,Hyundai Xcent SX,4.99,73333,Petrol,Bangalore,2015
89,MG Hector Sharp,16.59,45999,Diesel,Bangalore,2019
90,Maruti Suzuki Baleno,5.45,61518,Petrol,Noida,2017
91,Maruti Suzuki S-Presso,4.76,65,Petrol,Delhi,2021
92,Maruti Suzuki Baleno,7.39,42400,Diesel,Bangalore,2017
93,Jeep Compass Limited,13.95,45221,Petrol,Mumbai,2017
94,Maruti Suzuki Ignis,6.28,11290,Petrol,Pune,2020
95,Hyundai Grand i10,4.09,68446,Petrol,Delhi,2016
96,Honda City V,5.9,51850,Petrol,Mumbai,2015
97,Toyota Glanza G,7.95,10000,Petrol,Mumbai,2020
98,Audi Q3 2.0,11.9,69500,Diesel,Ahmedabad,2012
99,Maruti Suzuki Swift,4.45,44681,Petrol,Hyderabad,2012
100,Renault Kwid RXT,2.99,65428,Petrol,Pune,2016
101,Hyundai Verna Fluidic,3.91,84344,Petrol,Delhi,2013
102,Maruti Suzuki Vitara,8.9,113600,Diesel,Thane,2018
103,Maruti Suzuki Wagon,5.99,17778,CNG,Delhi,2020
104,Maruti Suzuki Baleno,5.8,33269,Petrol,Kolkata,2018
105,MG Hector Sharp,19.25,15222,Petrol,Bangalore,2021
106,Honda City V,9.25,87139,Diesel,Hyderabad,2017
107,Maruti Suzuki Swift,3.4,69551,Petrol,Delhi,2013
108,Hyundai Verna Fluidic,4.85,72500,Diesel,Thane,2013
109,Maruti Suzuki Swift,6.33,28899,Petrol,Delhi,2018
110,Maruti Suzuki Wagon,3.96,13595,Petrol,Kolkata,2017
111,Ford Endeavour Titanium,24.75,83000,Diesel,Mumbai,2016
112,Hyundai Elite i20,7.75,19418,Petrol,Bangalore,2019
113,Volvo V40 D3,12.0,50965,Diesel,Kolkata,2015
114,Ford EcoSport Ambiente,4.91,74000,Diesel,Thane,2014
115,Hyundai Xcent SX,4.25,21707,Diesel,Kolkata,2017
116,Mahindra XUV500 W8,7.4,83555,Diesel,Hyderabad,2013
117,Hyundai Verna 1.6,5.85,37000,Petrol,Mumbai,2015
118,Hyundai Grand i10,3.85,43000,Petrol,Noida,2014
119,Maruti Suzuki Baleno,6.9,21769,Petrol,Mumbai,2017
120,BMW 5 Series,42.5,32000,Petrol,Mumbai,2018
121,Maruti Suzuki Ciaz,7.99,14886,Petrol,Mumbai,2018
122,MG Hector Plus,18.9,6602,Petrol,Ahmedabad,2020
123,Maruti Suzuki Wagon,3.85,58000,CNG,Thane,2014
124,Maruti Suzuki Wagon,4.07,63339,CNG,Pune,2014
125,Maruti Suzuki Ciaz,8.3,4500,Petrol,Faridabad,2020
126,Renault Triber RXZ,7.6,23600,Petrol,Chennai,2020
127,Hyundai Venue S,9.55,17844,Petrol,Kolkata,2019
128,Honda City SV,8.75,21000,Petrol,Ahmedabad,2019
129,Tata Indica LS,2.5,60000,Diesel,Thiruvallur,2017
130,Maruti Suzuki Celerio,4.5,34530,Petrol,Thane,2016
131,Honda CR-V 2.4,14.0,117192,Petrol,Hyderabad,2014
132,Honda Jazz VX,5.95,54000,Diesel,Thane,2016
133,Nissan Terrano XL,6.79,38999,Petrol,Bangalore,2016
134,Volkswagen Ameo Highline,6.6,58549,Diesel,Chennai,2017
135,Hyundai Elite i20,6.87,41055,Petrol,Delhi,2019
136,Renault Kwid 1.0,3.04,53728,Petrol,Delhi,2018
137,Hyundai Grand i10,5.29,42141,Petrol,Bangalore,2017
138,Tata Tiago JTP,4.16,63130,Petrol,Delhi,2018
139,Maruti Suzuki Alto,3.01,53912,Petrol,Chennai,2016
140,Tata Nexon XMA,9.41,20678,Diesel,Thane,2019
141,Tata Safari XTA,23.75,4259,Diesel,Bangalore,2022
142,Honda Jazz E,4.9,48866,Petrol,Ahmedabad,2016
143,Renault Kwid RXT,3.31,32954,Petrol,Delhi,2018
144,Maruti Suzuki Wagon,2.35,37000,Petrol,Mumbai,2012
145,Mahindra XUV500 W11,13.9,85000,Diesel,Ahmedabad,2018
146,Audi A3 35,24.75,36627,Diesel,Bangalore,2016
147,Volkswagen Polo GT,9.25,62690,Petrol,Bangalore,2018
148,Toyota Innova Crysta,21.5,12039,Diesel,Ahmedabad,2020
149,Honda City VX,12.04,26230,Petrol,Delhi,2020
150,Hyundai Santro Sportz,5.57,19156,Petrol,Pune,2020
151,Hyundai Grand i10,5.79,18350,Petrol,Kolkata,2020
152,Hyundai Elite i20,5.54,44053,Petrol,Pune,2018
153,Hyundai i10 1.1L,3.4,69000,Petrol,Ahmedabad,2014
154,Kia Seltos GTX,16.2,51605,Petrol,Pune,2019
155,BMW 5 Series,43.0,40000,Diesel,Ahmedabad,2017
156,Tata Harrier XZ,18.95,35438,Diesel,Thane,2020
157,BMW 7 Series,10.0,65000,Petrol,Ahmedabad,2008
158,Maruti Suzuki Ciaz,8.85,38500,Petrol,Ahmedabad,2020
159,Maruti Suzuki Wagon,4.84,20583,CNG,Pune,2018
160,Skoda Rapid Style,7.15,81325,Diesel,Kolkata,2016
161,Maruti Suzuki Baleno,5.9,35000,Petrol,Ahmedabad,2017
162,Maruti Suzuki Celerio,4.85,25000,Petrol,Hyderabad,2015
163,Honda Jazz V,4.62,37993,Petrol,Delhi,2015
164,Land Rover Discovery,34.99,21693,Diesel,Kolkata,2018
165,Hyundai Creta SX,10.25,63194,Petrol,Thane,2018
166,Hyundai i10 1.2,1.8,60000,Petrol,Thane,2009
167,Honda City VX,12.0,70000,Petrol + 1,Ambattur,2018
168,Tata Hexa XTA,16.0,51000,Diesel + 1,Ambattur,2018
169,Hyundai Elite i20,8.3,22024,Petrol,Thane,2019
170,Skoda Octavia 2.0,20.95,35793,Diesel,Hyderabad,2017
171,Hyundai Tucson GLS,19.25,75400,Diesel,Pune,2017
172,Maruti Suzuki Swift,4.75,84996,Diesel,Hyderabad,2016
173,Maruti Suzuki Swift,4.6,74767,Petrol,Mumbai,2015
174,Honda Amaze 1.2,3.42,63956,Petrol,Gurgaon,2013
175,Maruti Suzuki Wagon,4.5,48000,CNG,Thane,2017
176,Renault Duster 85,6.85,48330,Diesel,Bangalore,2014
177,Maruti Suzuki Alto,2.1,93150,Petrol,Kolkata,2014
178,BMW X3 xDrive,41.0,69499,Diesel,Hyderabad,2016
179,Mahindra TUV300 T8,5.45,75000,Diesel,Noida,2016
180,Kia Carnival Prestige,34.99,13748,Diesel,Bangalore,2021
181,Maruti Suzuki Ciaz,10.75,30672,Petrol,Bangalore,2019
182,Jeep Compass Limited,17.99,64683,Diesel,Bangalore,2019
183,Maruti Suzuki Baleno,7.11,69886,Petrol,Mumbai,2019
184,Audi Q5 2.0,21.5,34000,Diesel,Kolkata,2014
185,Hyundai Creta SX,11.49,62137,Petrol,Bangalore,2019
186,Maruti Suzuki Baleno,5.24,56800,Petrol,Delhi,2016
187,Hyundai Xcent S,4.75,42382,Petrol,Thane,2015
188,Maruti Suzuki Wagon,3.9,66794,Petrol,Kolkata,2018
189,Honda City V,11.5,19600,Petrol,Ahmedabad,2020
190,Mercedes-Benz S-Class 350,19.0,85489,Diesel,Hyderabad,2011
191,Renault Triber RXZ,7.5,19784,Petrol,Mumbai,2020
192,Honda City ZX,12.85,19238,Petrol,Mumbai,2020
193,Maruti Suzuki Swift,4.2,78518,Petrol,Hyderabad,2013
194,Hyundai Creta E,8.55,54104,Petrol,Mumbai,2017
195,Renault Duster 85,8.99,55300,Diesel,Bangalore,2018
196,Renault Kwid 1.0,3.48,40397,Petrol,Chennai,2018
197,Mahindra XUV500 W8,8.11,87527,Diesel,Mumbai,2015
198,Toyota Glanza V,6.75,63000,Petrol,Ahmedabad,2019
199,Maruti Suzuki Swift,5.67,83647,Diesel,Pune,2016
200,Isuzu MU-X 4x2,21.0,75592,Diesel,Hyderabad,2018
201,Renault Duster 85,4.75,57660,Diesel,Mumbai,2012
202,Honda Amaze 1.2,6.85,42277,Petrol,Noida,2018
203,Maruti Suzuki S-Presso,5.25,2600,Petrol,Ahmedabad,2022
204,Volvo XC90 D5,22.57,51000,Diesel,Ahmedabad,2014
205,Hyundai Grand i10,5.75,19630,Petrol,Mumbai,2017
206,Honda City VX,7.45,42218,Petrol,Mumbai,2016
207,Toyota Glanza G,7.08,69553,Petrol,Chennai,2019
208,Maruti Suzuki Alto,3.38,48448,Petrol,Delhi,2017
209,Tata Tiago Revotron,4.84,60167,Petrol,Delhi,2019
210,Honda City 1.5,3.95,61000,Petrol,Noida,2012
211,Hyundai Grand i10,4.34,26282,Petrol,Pune,2015
212,Mercedes-Benz E-Class E,61.75,19070,Diesel,Bangalore,2019
213,Audi A4 3.0,32.0,67262,Diesel,Chennai,2018
214,Maruti Suzuki Ciaz,8.72,5814,Petrol,Kolkata,2020
215,Skoda Rapid Ultima,6.5,76810,Diesel,Kolkata,2017
216,Honda Amaze 1.5,4.95,63587,Diesel,Mumbai,2015
217,Kia Seltos GTX,15.25,28000,Petrol,Kolkata,2019
218,Honda Amaze 1.5,4.99,42637,Diesel,Bangalore,2014
219,Maruti Suzuki Wagon,4.32,52775,Petrol,Pune,2017
220,Maruti Suzuki Ciaz,8.5,21809,Petrol,Thane,2019
221,Volkswagen Vento Highline,7.25,45689,Petrol,Mumbai,2016
222,Maruti Suzuki Celerio,4.33,34251,Petrol,Pune,2017
223,Maruti Suzuki Ertiga,7.2,55000,CNG,Thane,2016
224,Skoda Rapid Ambition,9.25,95004,Diesel,Hyderabad,2018
225,Tata Harrier XZ,16.95,20856,Diesel,Bangalore,2019
226,Maruti Suzuki Dzire,8.75,11800,Petrol,Chennai,2020
227,Maruti Suzuki Baleno,5.1,32897,Petrol,Pune,2016
228,Mahindra TUV300 T8,5.65,47107,Diesel,Delhi,2016
229,Maruti Suzuki Alto,2.25,76614,Petrol,Pune,2011
230,Audi Q3 35,19.99,32345,Diesel,Kolkata,2018
231,Jaguar XE Portfolio,37.75,35491,Diesel,Bangalore,2018
232,Toyota Innova Crysta,32.5,22562,Diesel,Hyderabad,2021
233,Maruti Suzuki Ciaz,7.45,49908,Diesel,Mumbai,2018
234,MINI Cooper JCW,44.0,2482,Petrol,Mumbai,2021
235,Jeep Compass Limited,23.0,9000,Diesel,Ambattur,2020
236,Volkswagen Polo Comfortline,4.65,27700,Petrol,Thane,2015
237,Maruti Suzuki Wagon,1.8,49000,Petrol,Thane,2009
238,Maruti Suzuki Ignis,4.53,12104,Petrol,Kolkata,2018
239,Hyundai Xcent SX,5.34,28646,Petrol,Pune,2016
240,Maruti Suzuki Alto,2.05,35965,Petrol,Kolkata,2014
241,Mercedes-Benz E-Class E350,15.5,64000,Diesel,Hyderabad,2010
242,Maruti Suzuki Baleno,7.35,5288,Petrol,Thane,2020
243,Volvo S60 Kinetic,17.9,90604,Diesel,Hyderabad,2017
244,Maruti Suzuki Estilo,2.25,68000,Petrol + 1,Thiruvallur,2011
245,Hyundai i20 Asta,8.5,32243,Petrol,Hyderabad,2020
246,Maruti Suzuki Ciaz,6.87,33823,Petrol,Delhi,2017
247,Maruti Suzuki Swift,5.38,25412,Petrol,Kolkata,2018
248,BMW 3 Series,57.5,22600,Diesel,Chennai,2021
249,Honda City V,8.3,56468,Petrol,Ahmedabad,2017
250,Ford Figo Duratec,2.4,73000,Petrol + 1,Poonamallee,2011
251,Honda City SV,6.3,24751,Petrol,Kolkata,2018
252,Audi TT 45,46.0,9865,Petrol,Ahmedabad,2016
253,Maruti Suzuki Celerio,4.75,29646,Petrol,Thane,2016
254,BMW X1 sDrive20d,21.75,55000,Diesel,Mumbai,2017
255,Volvo S90 D4,59.0,15446,Diesel,Hyderabad,2020
256,Maruti Suzuki Celerio,4.45,24595,Petrol,Mumbai,2016
257,Hyundai Creta 1.6,9.98,97761,Diesel,Pune,2016
258,Maruti Suzuki Celerio,5.65,47000,Petrol,Hyderabad,2020
259,Hyundai Grand i10,4.85,66471,Petrol,Delhi,2017
260,Datsun redi-GO S,3.25,37000,Petrol,Ahmedabad,2019
261,Kia Seltos GTX,16.9,28100,Petrol,Ahmedabad,2020
262,Skoda Octavia Elegance,7.99,63000,Diesel,Delhi,2014
263,Maruti Suzuki Wagon,4.3,26600,CNG,Pune,2016
264,Mahindra XUV500 W8,5.75,55105,Diesel,Kolkata,2013
265,Hyundai Eon Era,3.3,42748,Petrol,Chennai,2017
266,Audi Q7 45,59.5,51000,Diesel,Ahmedabad,2018
267,Audi A6 35,25.0,76000,Diesel,Ahmedabad,2018
268,Hyundai Elite i20,6.13,35247,Petrol,Pune,2017
269,Hyundai Elite i20,5.59,30183,Petrol,Kolkata,2019
270,Mercedes-Benz GLS 350,68.0,88000,Diesel,Hyderabad,2018
271,MG Hector Sharp,16.99,7870,Petrol,Kolkata,2021
272,Mahindra XUV500 W10,14.9,50000,Diesel,Chennai,2018
273,BMW 3 Series,17.1,46000,Diesel,Delhi,2015
274,Maruti Suzuki Celerio,4.9,28726,Petrol,Thane,2018
275,Maruti Suzuki Wagon,3.13,32907,Petrol,Delhi,2014
276,Maruti Suzuki Alto,3.32,29092,Petrol,Kolkata,2019
277,Hyundai Creta 1.6,7.45,62461,Petrol,Mumbai,2016
278,Skoda Rapid Ambition,3.85,60000,Petrol,Noida,2012
279,Jaguar XF 3.0,26.5,62645,Diesel,Hyderabad,2015
280,Toyota Innova 2.5,9.75,83000,Diesel,Ahmedabad,2015
281,Hyundai i10 1.1L,3.5,55000,Petrol,Ahmedabad,2015
282,Toyota Fortuner 2.8,35.0,181213,Diesel,Hyderabad,2019
283,Maruti Suzuki Dzire,6.9,25000,Petrol,Delhi,2020
284,Datsun GO T,2.35,52000,Petrol,Ahmedabad,2018
285,Ford EcoSport Titanium,4.51,38203,Petrol,Kolkata,2013
286,Maruti Suzuki Wagon,4.06,64942,CNG,Delhi,2017
287,Maruti Suzuki Baleno,5.4,47837,Petrol,Delhi,2018
288,Maruti Suzuki Ertiga,5.0,85000,Petrol + 1,Thiruvallur,2013
289,Mercedes-Benz CLA 200,16.49,51500,Diesel,Kolkata,2015
290,Skoda Octavia 1.8,21.0,23160,Petrol,Hyderabad,2018
291,Toyota Corolla Altis,6.95,75000,Petrol,Thane,2015
292,Toyota Corolla Altis,8.83,63000,Petrol,Delhi,2014
293,BMW 3 Series,15.5,104264,Diesel,Hyderabad,2013
294,Hyundai Elite i20,6.59,15972,Petrol,Delhi,2017
295,Hyundai Eon Magna,3.2,33146,Petrol,Ahmedabad,2015
296,Maruti Suzuki Swift,6.74,30956,Petrol,Chennai,2020
297,Renault Kiger RXT,9.98,4371,Petrol,Kolkata,2022
298,Hyundai Elite i20,10.75,63653,Diesel,Hyderabad,2020
299,Honda City 1.5,4.05,55297,Petrol,Thane,2013
300,Porsche Cayenne Turbo,78.57,12000,Petrol,Ahmedabad,2015
301,Maruti Suzuki Swift,4.17,21391,Petrol,Kolkata,2014
302,Renault Kwid CLIMBER,4.83,11546,Petrol,Delhi,2021
303,Hyundai Santro Sportz,5.89,16270,Petrol,Pune,2020
304,Nissan Micra XV,2.9,73000,Diesel,Ahmedabad,2012
305,Hyundai Grand i10,5.49,53000,Petrol,Hyderabad,2018
306,Mercedes-Benz CLA 200,19.25,34000,Petrol,Mumbai,2016
307,Hyundai Venue S,10.64,16328,Petrol,Pune,2019
308,Land Rover Range,77.0,5600,Petrol,Thane,2021
309,Maruti Suzuki S-Cross,7.6,73994,Diesel,Hyderabad,2016
310,Hyundai Verna SX,10.59,43920,Petrol,Bangalore,2019
311,Maruti Suzuki Wagon,3.17,17715,Petrol,Kolkata,2014
312,Toyota Corolla Altis,10.4,82902,Petrol,Delhi,2018
313,Land Rover Range,1.23,39012,Diesel,Thane,2019
314,Maruti Suzuki Wagon,4.71,23344,Petrol,Hyderabad,2018
315,Hyundai Verna 1.6,7.49,93494,Petrol,Kolkata,2019
316,Honda Jazz V,7.25,27222,Petrol,Mumbai,2018
317,Hyundai Creta S,16.0,14468,Diesel,Hyderabad,2021
318,Honda Jazz V,7.47,40000,Diesel + 1,Pallikarnai,2017
319,Maruti Suzuki Ciaz,5.75,65000,Petrol,Thane,2015
320,Maruti Suzuki Alto,1.9,60028,Petrol,Delhi,2012
321,Mercedes-Benz CLA 200,29.5,37300,Diesel,Bangalore,2018
322,Hyundai Creta 1.6,11.25,32143,Petrol,Mumbai,2018
323,Hyundai Elite i20,6.45,55669,Petrol,Chennai,2016
324,Hyundai Grand i10,4.05,72757,Petrol,Delhi,2016
325,Honda City SV,8.75,56000,Petrol,Ahmedabad,2017
326,Maruti Suzuki Swift,3.26,70244,Petrol,Kolkata,2013
327,BMW X1 sDrive20d,21.45,46595,Diesel,Delhi,2018
328,Maruti Suzuki XL6,9.51,20703,Petrol,Ahmedabad,2020
329,Tata Harrier XZ,14.65,47579,Diesel,Mumbai,2019
330,BMW X1 sDrive20d,28.0,31000,Diesel,Kolkata,2019
331,Mercedes-Benz GLE 350,58.0,31300,Diesel,Ahmedabad,2019
332,Ford EcoSport Titanium+,7.5,52157,Diesel,Hyderabad,2016
333,Mahindra XUV500 W6,9.5,91000,Diesel,Ahmedabad,2016
334,Audi A6 2.0,21.0,69631,Diesel,Hyderabad,2013
335,Hyundai i20 Active,6.11,32036,Petrol,Mumbai,2018
336,Mercedes-Benz AMG GLA35,64.5,2000,Petrol,Chennai,2022
337,Hyundai Elite i20,6.0,22621,Petrol,Kolkata,2018
338,Honda City VX,6.25,45000,Petrol,Thane,2015
339,Hyundai Verna Fluidic,11.26,33423,Petrol,Pune,2019
340,Hyundai i10 1.1L,3.5,31500,Petrol,Ahmedabad,2015
341,Hyundai Creta SX,9.25,51000,Petrol,Thane,2017
342,Renault Duster 85,9.79,39030,Diesel,Bangalore,2018
343,Mercedes-Benz C-Class C,30.56,27236,Petrol,Bangalore,2018
344,Maruti Suzuki Celerio,3.57,24063,Petrol,Kolkata,2015
345,Volkswagen Polo Highline1.2L,5.21,59819,Petrol,Mumbai,2015
346,Renault Kwid 1.0,4.39,8297,Petrol,Delhi,2019
347,Maruti Suzuki Dzire,7.35,32740,Petrol,Pune,2017
348,BMW 5 Series,45.99,34500,Diesel,Ahmedabad,2020
349,Kia Sonet GTX,14.19,25007,Diesel,Pune,2020
350,Maruti Suzuki Ignis,4.89,38944,Petrol,Chennai,2019
351,Hyundai Grand i10,4.05,72757,Petrol,Delhi,2016
352,Volkswagen Vento Trendline,3.5,101740,Petrol,Hyderabad,2010
353,Maruti Suzuki Celerio,5.99,9130,Petrol,Pune,2019
354,Honda Jazz V,6.75,48650,Petrol,Mumbai,2017
355,Hyundai Creta 1.6,10.29,40314,Petrol,Pune,2016
356,Volvo XC90 D5,22.87,30800,Diesel,Ahmedabad,2015
357,Maruti Suzuki Alto,3.45,33000,CNG,Noida,2019
358,Hyundai Elite i20,7.9,54000,Petrol,Hyderabad,2019
359,Honda City V,8.45,22500,Petrol,Thane,2018
360,Toyota Glanza G,8.49,29866,Petrol,Bangalore,2020
361,Ford Aspire Titanium,5.35,65000,Petrol,Noida,2017
362,Ford EcoSport Titanium,4.75,78822,Petrol,Faridabad,2014
363,Volkswagen Taigun GT,16.49,9792,Petrol,Ahmedabad,2021
364,Hyundai Grand i10,5.69,64774,Petrol,Bangalore,2016
365,Toyota Fortuner 2.8,33.75,31283,Diesel,Bangalore,2018
366,Skoda Rapid Ambition,10.82,10713,Petrol,Delhi,2020
367,Maruti Suzuki Baleno,6.99,13127,Petrol,Kolkata,2021
368,Maruti Suzuki Wagon,4.25,50000,Petrol,Thane,2016
369,Maruti Suzuki Alto,3.25,35340,Petrol,Pune,2018
370,Honda Jazz V,6.51,27654,Petrol,Mumbai,2017
371,Hyundai Santro Sportz,5.23,40067,CNG,Pune,2018
372,Maruti Suzuki Baleno,5.48,50899,Petrol,Delhi,2018
373,Hyundai Grand i10,4.6,52000,Petrol,Thane,2017
374,Honda City S,6.95,51292,Petrol,Thane,2017
375,Hyundai Elite i20,5.19,19905,Petrol,Kolkata,2017
376,Tata Nano Twist,1.1,18000,Petrol,Ahmedabad,2015
377,Maruti Suzuki Ertiga,11.4,28715,CNG,Thane,2021
378,Maruti Suzuki Ertiga,7.21,69161,CNG,Mumbai,2015
379,Maruti Suzuki S-Cross,8.87,54571,Diesel,Pune,2017
380,Honda City VX,7.75,25000,Petrol,Thane,2016
381,Honda City VX,8.75,24259,Petrol,Kolkata,2019
382,Maruti Suzuki Alto,2.95,30233,Petrol,Pune,2015
383,Mahindra Thar LX,17.5,21000,Diesel,Delhi,2021
384,Maruti Suzuki Ertiga,8.25,51000,CNG,Thane,2017
385,Hyundai Grand i10,4.5,23137,Petrol,Thane,2016
386,Land Rover Discovery,26.0,159070,Diesel,Hyderabad,2015
387,Maruti Suzuki Dzire,6.45,52328,Diesel,Noida,2018
388,Maruti Suzuki Baleno,6.66,35849,Petrol,Pune,2017
389,Hyundai Venue SX,10.66,24783,Petrol,Bangalore,2020
390,Maruti Suzuki Ciaz,5.0,27346,Petrol,Kolkata,2016
391,Hyundai i10 Magna,3.49,75619,Petrol,Chennai,2014
392,Hyundai i10 Magna,2.45,54000,Petrol,Kolkata,2013
393,Nissan Sunny XE,2.95,58000,Petrol,Noida,2012
394,Jeep Wrangler Rubicon,65.0,27340,Petrol,Hyderabad,2021
395,Maruti Suzuki Swift,6.3,17000,Petrol,Pallikarnai,2020
396,Volkswagen Vento Highline,7.9,111139,Diesel,Mumbai,2018
397,Hyundai Elantra 1.6,18.75,40916,Diesel,Pune,2018
398,Honda WR-V VX,9.5,120463,Diesel,Thiruvallur,2018
399,Honda BR-V VX,7.99,94197,Diesel,Thane,2017
400,Maruti Suzuki Swift,4.24,76859,Petrol,Pune,2014
